split,capture_id,pose_id,frame_id,tag_id,corner_index,observed_u_px,observed_v_px,predicted_u_px,predicted_v_px,residual_u_px,residual_v_px,radial_error_px,depth_m
training,capture_001,pose_001,capture_001_005,1,0,685.247314453125,484.3975830078125,690.3360849417448,485.5455199106475,5.0887704886198435,1.1479369028349993,5.216641085865373,0.4511485829010993
training,capture_001,pose_001,capture_001_005,1,1,661.922119140625,534.7733764648438,665.3759617089481,538.1593167446731,3.4538425683231253,3.385940279829356,4.836695159438083,0.43780072381522916
training,capture_001,pose_001,capture_001_005,1,2,645.3579711914062,507.5388488769531,647.5477939437578,509.4996373962406,2.1898227523515743,1.960788519287462,2.9393902946165795,0.414897232815849
training,capture_001,pose_001,capture_001_005,1,3,671.0,454.0,674.3985210485089,454.9652248297853,3.398521048508883,0.9652248297853134,3.532931401710484,0.4282450919017192
training,capture_001,pose_001,capture_001_005,3,0,657.0466918945312,546.0263671875,652.1118901946176,544.2682478213397,-4.934801699913692,-1.7581193661602583,5.2386306916157785,0.43791693018246247
training,capture_001,pose_001,capture_001_005,3,1,600.0,525.0,600.3280055921934,527.0738512151605,0.32800559219344905,2.0738512151605164,2.099630093881521,0.45196202747173264
training,capture_001,pose_001,capture_001_005,3,2,580.56982421875,498.17022705078125,579.6159535200751,498.768348625968,-0.9538706986749048,0.5981215751867239,1.125885752860564,0.4290585364723526
training,capture_001,pose_001,capture_001_005,3,3,631.0352172851562,514.04296875,633.5567055007056,515.9537290668276,2.5214882155493115,1.9107603168275773,3.1636857950051036,0.41501343918308237
training,capture_001,pose_001,capture_001_005,5,0,607.6096801757812,433.8209533691406,608.9091221164545,432.5011402049408,1.299441940673205,-1.319813164199843,1.8521490613813314,0.44081379023930445
training,capture_001,pose_001,capture_001_005,5,1,657.6027221679688,447.27783203125,662.3281352049319,447.0322774544936,4.725413036963118,-0.24555457675637626,4.731788818202584,0.4267686929500343
training,capture_001,pose_001,capture_001_005,5,2,631.9443969726562,499.1737060546875,634.9918104276466,501.50531596313954,3.0474134549903056,2.3316099084520374,3.837073563387555,0.41342083386416406
training,capture_001,pose_001,capture_001_005,5,3,581.1455078125,483.943115234375,580.8029392190257,484.73063454324137,-0.34256859347431146,0.787519308866365,0.8588014340185542,0.42746593115343423
training,capture_002,pose_002,capture_002_003,1,0,825.9982299804688,485.0152282714844,833.3116986257191,483.05659746306543,7.313468645250396,-1.9586308084189454,7.571199262253537,0.36879841395663393
training,capture_002,pose_002,capture_002_003,1,1,786.8910522460938,544.7510375976562,792.5642683533156,544.4691478833506,5.673216107221833,-0.2818897143056347,5.680215032045228,0.36471641818173
training,capture_002,pose_002,capture_002_003,1,2,758.3773803710938,520.0219116210938,763.3640882304254,518.727396854468,4.986707859331659,-1.2945147666257526,5.151992212274031,0.3425112778721468
training,capture_002,pose_002,capture_002_003,1,3,800.017822265625,456.8953552246094,807.0659827010711,453.6835105843274,7.048160435446107,-3.2118446402819814,7.74548329783855,0.3465932736470508
training,capture_002,pose_002,capture_002_003,5,0,730.6878051757812,417.9105529785156,735.6572235728386,412.27600360617276,4.969418397057325,-5.63454937234286,7.5128733407652435,0.3659401835486812
training,capture_002,pose_002,capture_002_003,5,1,785.1114501953125,446.3727111816406,792.28828643144,442.96033328471367,7.176836236127542,-3.412377896926955,7.946779301807052,0.3461849550173432
training,capture_002,pose_002,capture_002_003,5,2,743.4065551757812,509.3417663574219,748.3579028779334,507.9539033168538,4.951347702152134,-1.3878630405680497,5.142179293546852,0.3421029592424393
training,capture_002,pose_002,capture_002_003,5,3,691.1268920898438,476.4057312011719,693.4863331820229,473.3751857792852,2.3594410921791678,-3.0305454218867,3.8407249083450457,0.3618581877737772
training,capture_003,pose_003,capture_003_002,1,0,545.9738159179688,429.73687744140625,539.5686311438418,429.7167886917172,-6.405184774126951,-0.02008874968902319,6.405216276486828,0.3529941546786229
training,capture_003,pose_003,capture_003_002,1,1,493.2218933105469,481.2312316894531,485.19936880602097,483.485068434856,-8.022524504525904,2.2538367454028503,8.33310743364363,0.35381342274527916
training,capture_003,pose_003,capture_003_002,1,2,462.0193176269531,474.7550964355469,451.2960973246147,477.21542369269906,-10.723220302338405,2.460327257152187,11.001848202223504,0.32521310233745937
training,capture_003,pose_003,capture_003_002,1,3,518.5946655273438,419.1286315917969,510.3732248996142,418.690806482093,-8.221440627729578,-0.43782510970385147,8.23309035672327,0.32439383427080304
training,capture_003,pose_003,capture_003_002,5,0,455.8860778808594,352.35101318359375,445.9633574957469,349.4077376935958,-9.922720385112484,-2.9432754899979727,10.350036253615233,0.33014980548807893
training,capture_003,pose_003,capture_003_002,5,1,504.2486572265625,406.4628601074219,496.3287667309257,406.7838042903254,-7.919890495636821,0.3209441829035313,7.926390769538054,0.3211303558150111
training,capture_003,pose_003,capture_003_002,5,2,446.4490051269531,463.6453552246094,436.68853628661947,465.93196269860454,-9.760468840333658,2.2866074739951614,10.02473569343625,0.32194962388166737
training,capture_003,pose_003,capture_003_002,5,3,399.4721984863281,408.40185546875,388.0730936637661,407.08603834858076,-11.399104822562037,-1.3158171201692426,11.474796967680414,0.3309690735547352
